date,open,high,low,close,volume
2024-04-16,136.0,140.0,131.0,133.0,366835100
2024-04-17,133.0,147.0,132.0,146.0,414376200
2024-04-18,146.0,165.0,143.0,165.0,568650000
2024-04-19,164.0,166.0,141.0,145.0,340604200
2024-04-22,146.0,158.0,142.0,158.0,215805600
2024-04-23,157.0,159.0,150.0,152.0,242043100
2024-04-24,152.0,154.0,149.0,153.0,94760400
2024-04-25,153.0,156.0,148.0,151.0,210928800
2024-04-26,151.0,151.0,141.0,144.0,48647300
2024-04-29,144.0,144.0,136.0,140.0,322831200
2024-04-30,140.0,148.0,138.0,146.0,260230400
2024-05-02,147.0,147.0,141.0,142.0,61721200
2024-05-03,142.0,153.0,141.0,142.0,208575600
2024-05-06,142.0,147.0,138.0,143.0,382692500
2024-05-07,143.0,144.0,142.0,144.0,41977000
2024-05-08,144.0,157.0,143.0,157.0,171900500
2024-05-13,157.0,166.0,157.0,166.0,231445200
2024-05-14,165.0,182.0,165.0,181.0,353100100
2024-05-15,183.0,183.0,177.0,180.0,36217200
2024-05-16,180.0,185.0,175.0,180.0,302125500
2024-05-17,184.0,185.0,173.0,185.0,369078800
2024-05-20,185.0,189.0,184.0,185.0,180416800
2024-05-21,185.0,188.0,176.0,176.0,356892900
2024-05-22,177.0,177.0,167.0,170.0,193271800
2024-05-27,170.0,170.0,160.0,161.0,261017000
2024-05-28,161.0,180.0,161.0,178.0,216517400
2024-05-29,178.0,180.0,171.0,174.0,187707100
2024-05-30,174.0,176.0,169.0,174.0,191901100
2024-05-31,174.0,176.0,170.0,171.0,121959100
2024-06-03,171.0,174.0,170.0,171.0,165400900
2024-06-04,171.0,172.0,164.0,164.0,99506600
2024-06-05,164.0,169.0,162.0,164.0,201898200
2024-06-06,164.0,173.0,164.0,173.0,199447300
2024-06-07,173.0,175.0,166.0,167.0,163572200
2024-06-10,167.0,170.0,163.0,167.0,127431800
2024-06-11,167.0,174.0,165.0,174.0,196109000
2024-06-12,174.0,175.0,169.0,170.0,60599600
2024-06-13,170.0,172.0,169.0,170.0,102104900
2024-06-14,171.0,171.0,166.0,168.0,43369100
2024-06-19,168.0,170.0,165.0,168.0,147950700
2024-06-20,168.0,185.0,167.0,182.0,243433300
2024-06-21,182.0,186.0,178.0,186.0,188081700
2024-06-24,188.0,204.0,186.0,191.0,189646600
2024-06-25,191.0,194.0,184.0,187.0,118128200
2024-06-26,184.0,193.0,184.0,188.0,59984900
2024-06-27,188.0,188.0,179.0,181.0,93627600
2024-06-28,181.0,196.0,181.0,194.0,156750200
2024-07-01,194.0,198.0,192.0,195.0,92227600
2024-07-02,195.0,195.0,190.0,191.0,127872800
2024-07-03,192.0,195.0,190.0,192.0,91174800
2024-07-04,192.0,197.0,189.0,193.0,141168300
2024-07-05,194.0,206.0,193.0,204.0,251019300
2024-07-08,204.0,208.0,197.0,200.0,119446800
2024-07-09,199.0,214.0,199.0,208.0,205791800
2024-07-10,208.0,212.0,202.0,206.0,147776300
2024-07-11,206.0,212.0,202.0,208.0,129925400
2024-07-12,210.0,212.0,204.0,208.0,136724700
2024-07-15,210.0,210.0,200.0,204.0,98549800
2024-07-16,204.0,210.0,200.0,208.0,136097900
2024-07-17,208.0,220.0,208.0,216.0,219310400
2024-07-18,216.0,218.0,200.0,200.0,82041000
2024-07-19,200.0,204.0,191.0,197.0,132189600
2024-07-22,197.0,200.0,193.0,197.0,96872600
2024-07-23,197.0,202.0,195.0,200.0,189496200
2024-07-24,202.0,204.0,196.0,196.0,56086400
2024-07-25,197.0,198.0,193.0,198.0,180595200
2024-07-26,198.0,208.0,198.0,202.0,180878500
2024-07-29,202.0,204.0,200.0,200.0,75023500
2024-07-30,200.0,202.0,198.0,200.0,55053300
2024-07-31,202.0,240.0,202.0,232.0,297249200
2024-08-01,236.0,236.0,222.0,224.0,77339100
2024-08-02,226.0,230.0,214.0,214.0,107223700
2024-08-05,214.0,218.0,204.0,208.0,95593300
2024-08-06,206.0,222.0,204.0,220.0,143611900
2024-08-07,222.0,230.0,218.0,224.0,126230200
2024-08-08,224.0,226.0,220.0,224.0,64312300
2024-08-09,224.0,234.0,224.0,230.0,81232300
2024-08-12,230.0,234.0,228.0,232.0,87008900
2024-08-13,232.0,254.0,232.0,246.0,182262700
2024-08-14,246.0,248.0,238.0,240.0,71690700
2024-08-15,242.0,254.0,240.0,252.0,136114800
2024-08-16,252.0,264.0,250.0,258.0,142548900
2024-08-19,258.0,302.0,258.0,292.0,234809100
2024-08-20,292.0,316.0,282.0,306.0,181512700
2024-08-21,314.0,314.0,272.0,286.0,139546100
2024-08-22,280.0,294.0,272.0,284.0,100271400
2024-08-23,284.0,298.0,278.0,294.0,64013500
2024-08-26,294.0,302.0,290.0,294.0,38877900
2024-08-27,294.0,298.0,272.0,284.0,152392700
2024-08-28,280.0,292.0,278.0,278.0,55883800
2024-08-29,280.0,282.0,274.0,282.0,78440800
2024-08-30,282.0,288.0,274.0,280.0,74100700
2024-09-02,280.0,282.0,272.0,276.0,99920100
2024-09-03,276.0,284.0,274.0,282.0,75354800
2024-09-04,282.0,282.0,272.0,272.0,96919800
2024-09-05,272.0,276.0,264.0,274.0,139610800
2024-09-06,278.0,280.0,268.0,268.0,142652900
2024-09-09,268.0,268.0,244.0,250.0,156080600
2024-09-10,246.0,284.0,246.0,264.0,232194100
2024-09-11,264.0,274.0,256.0,266.0,130598600
2024-09-12,266.0,268.0,260.0,264.0,36431700
2024-09-13,264.0,266.0,260.0,264.0,56429800
2024-09-17,264.0,282.0,264.0,280.0,143696400
2024-09-18,278.0,284.0,268.0,276.0,91931400
2024-09-19,276.0,288.0,276.0,278.0,128606900
2024-09-20,280.0,280.0,270.0,274.0,83351600
2024-09-23,274.0,278.0,268.0,274.0,107196100
2024-09-24,272.0,276.0,268.0,274.0,67970400
2024-09-25,274.0,276.0,268.0,270.0,94391700
2024-09-26,270.0,274.0,264.0,270.0,162408300
2024-09-27,270.0,272.0,256.0,258.0,124212600
2024-09-30,258.0,268.0,252.0,266.0,77258000
2024-10-01,266.0,272.0,262.0,266.0,109708200
2024-10-02,268.0,268.0,254.0,256.0,91395600
2024-10-03,256.0,274.0,256.0,268.0,156532600
2024-10-04,268.0,272.0,262.0,264.0,103056400
2024-10-07,264.0,274.0,262.0,270.0,218157100
2024-10-08,270.0,284.0,266.0,278.0,238961400
2024-10-09,278.0,284.0,272.0,274.0,94908900
2024-10-10,276.0,278.0,268.0,274.0,172434600
2024-10-11,274.0,278.0,272.0,276.0,57997300
2024-10-14,276.0,316.0,276.0,308.0,282999100
2024-10-15,312.0,314.0,298.0,306.0,127494000
2024-10-16,306.0,330.0,306.0,316.0,162450900
2024-10-17,318.0,324.0,312.0,318.0,83762300
2024-10-18,318.0,366.0,318.0,356.0,162064900
2024-10-21,358.0,434.0,358.0,422.0,319793500
2024-10-22,426.0,462.0,420.0,426.0,295105400
2024-10-23,426.0,430.0,388.0,410.0,158779700
2024-10-24,412.0,436.0,408.0,420.0,86048100
2024-10-25,424.0,434.0,410.0,410.0,55990600
2024-10-28,410.0,416.0,388.0,390.0,68524500
2024-10-29,390.0,398.0,376.0,384.0,54796300
2024-10-30,386.0,390.0,378.0,380.0,25551800
2024-10-31,380.0,382.0,340.0,374.0,161949200
2024-11-01,398.0,400.0,368.0,378.0,103903200
2024-11-04,378.0,386.0,358.0,380.0,63558700
2024-11-05,380.0,382.0,370.0,372.0,24171100
2024-11-06,372.0,394.0,372.0,384.0,113491700
2024-11-07,380.0,438.0,380.0,432.0,171410500
2024-11-08,432.0,448.0,406.0,406.0,111454800
2024-11-11,406.0,426.0,404.0,410.0,102174200
2024-11-12,408.0,446.0,404.0,438.0,99031900
2024-11-13,440.0,470.0,428.0,436.0,190852200
2024-11-14,436.0,468.0,434.0,458.0,77530900
2024-11-15,460.0,472.0,434.0,440.0,83388000
2024-11-18,442.0,444.0,422.0,428.0,35664700
2024-11-19,430.0,442.0,426.0,432.0,23201100
2024-11-20,436.0,438.0,412.0,428.0,46071900
2024-11-21,428.0,444.0,428.0,440.0,45158900
