date,open,high,low,close,volume
2024-04-16,20.0,20.0,20.0,20.0,398400
2024-04-17,18.0,18.0,18.0,18.0,1348700
2024-04-18,17.0,17.0,17.0,17.0,1985900
2024-04-19,16.0,16.0,16.0,16.0,802400
2024-04-22,15.0,15.0,15.0,15.0,1151000
2024-04-23,14.0,14.0,14.0,14.0,616200
2024-04-24,13.0,13.0,13.0,13.0,126800
2024-04-25,12.0,12.0,12.0,12.0,7786900
2024-04-26,11.0,11.0,11.0,11.0,267300
2024-04-29,10.0,12.0,10.0,12.0,23274100
2024-04-30,13.0,13.0,13.0,13.0,40953800
2024-05-02,14.0,14.0,14.0,14.0,4290100
2024-05-03,15.0,15.0,15.0,15.0,4716200
2024-05-06,15.0,15.0,14.0,14.0,3090700
2024-05-07,13.0,13.0,13.0,13.0,1961900
2024-05-08,13.0,13.0,12.0,12.0,459800
2024-05-13,12.0,12.0,12.0,12.0,0
2024-05-14,12.0,12.0,12.0,12.0,0
2024-05-15,12.0,12.0,12.0,12.0,0
2024-05-16,12.0,12.0,12.0,12.0,0
2024-05-17,12.0,12.0,12.0,12.0,0
2024-05-20,12.0,12.0,12.0,12.0,0
2024-05-21,12.0,12.0,12.0,12.0,0
2024-05-22,12.0,12.0,12.0,12.0,0
2024-05-27,12.0,12.0,12.0,12.0,0
2024-05-28,12.0,12.0,12.0,12.0,0
2024-05-29,12.0,12.0,12.0,12.0,0
2024-05-30,12.0,12.0,12.0,12.0,0
2024-05-31,12.0,12.0,12.0,12.0,0
2024-06-03,12.0,12.0,12.0,12.0,0
2024-06-04,12.0,12.0,12.0,12.0,0
2024-06-05,12.0,12.0,12.0,12.0,0
2024-06-06,12.0,12.0,12.0,12.0,0
2024-06-07,12.0,12.0,12.0,12.0,0
2024-06-10,12.0,12.0,12.0,12.0,0
2024-06-11,12.0,12.0,12.0,12.0,0
2024-06-12,12.0,12.0,12.0,12.0,0
2024-06-13,12.0,12.0,12.0,12.0,0
2024-06-14,12.0,12.0,12.0,12.0,0
2024-06-19,12.0,12.0,12.0,12.0,0
2024-06-20,12.0,12.0,12.0,12.0,0
2024-06-21,12.0,12.0,12.0,12.0,0
2024-06-24,12.0,12.0,12.0,12.0,0
2024-06-25,12.0,12.0,12.0,12.0,0
2024-06-26,12.0,12.0,12.0,12.0,0
2024-06-27,12.0,12.0,12.0,12.0,0
2024-06-28,12.0,12.0,12.0,12.0,0
2024-07-01,12.0,12.0,12.0,12.0,0
2024-07-02,12.0,12.0,12.0,12.0,0
2024-07-03,12.0,12.0,12.0,12.0,0
2024-07-04,12.0,12.0,12.0,12.0,0
2024-07-05,12.0,12.0,12.0,12.0,0
2024-07-08,12.0,12.0,12.0,12.0,0
2024-07-09,12.0,12.0,12.0,12.0,0
2024-07-10,12.0,12.0,12.0,12.0,0
2024-07-11,12.0,12.0,12.0,12.0,0
2024-07-12,12.0,12.0,12.0,12.0,0
2024-07-15,12.0,12.0,12.0,12.0,0
2024-07-16,12.0,12.0,12.0,12.0,0
2024-07-17,12.0,12.0,12.0,12.0,0
2024-07-18,12.0,12.0,12.0,12.0,0
2024-07-19,12.0,12.0,12.0,12.0,0
2024-07-22,12.0,12.0,12.0,12.0,0
2024-07-23,12.0,12.0,12.0,12.0,0
2024-07-24,12.0,12.0,12.0,12.0,0
2024-07-25,12.0,12.0,12.0,12.0,0
2024-07-26,12.0,12.0,12.0,12.0,0
2024-07-29,12.0,12.0,12.0,12.0,0
2024-07-30,12.0,12.0,12.0,12.0,0
2024-07-31,12.0,12.0,12.0,12.0,0
2024-08-01,12.0,12.0,12.0,12.0,0
2024-08-02,12.0,12.0,12.0,12.0,0
2024-08-05,12.0,12.0,12.0,12.0,0
2024-08-06,12.0,12.0,12.0,12.0,0
2024-08-07,12.0,12.0,12.0,12.0,0
2024-08-08,12.0,12.0,12.0,12.0,0
2024-08-09,12.0,12.0,12.0,12.0,0
2024-08-12,12.0,12.0,12.0,12.0,0
2024-08-13,12.0,12.0,12.0,12.0,0
2024-08-14,12.0,12.0,12.0,12.0,0
2024-08-15,12.0,12.0,12.0,12.0,0
2024-08-16,12.0,12.0,12.0,12.0,0
2024-08-19,12.0,12.0,12.0,12.0,0
2024-08-20,12.0,12.0,12.0,12.0,0
2024-08-21,12.0,12.0,12.0,12.0,0
2024-08-22,12.0,12.0,12.0,12.0,0
2024-08-23,12.0,12.0,12.0,12.0,0
2024-08-26,12.0,12.0,12.0,12.0,0
2024-08-27,12.0,12.0,12.0,12.0,0
2024-08-28,12.0,12.0,12.0,12.0,0
2024-08-29,12.0,12.0,12.0,12.0,0
2024-08-30,12.0,12.0,12.0,12.0,0
2024-09-02,12.0,12.0,12.0,12.0,0
2024-09-03,12.0,12.0,12.0,12.0,0
2024-09-04,12.0,12.0,12.0,12.0,0
2024-09-05,12.0,12.0,12.0,12.0,0
2024-09-06,12.0,12.0,12.0,12.0,0
2024-09-09,12.0,12.0,12.0,12.0,0
2024-09-10,12.0,12.0,12.0,12.0,0
2024-09-11,12.0,12.0,12.0,12.0,0
2024-09-12,12.0,12.0,12.0,12.0,0
2024-09-13,12.0,12.0,12.0,12.0,0
2024-09-17,12.0,12.0,12.0,12.0,0
2024-09-18,12.0,12.0,12.0,12.0,0
2024-09-19,12.0,12.0,12.0,12.0,0
2024-09-20,12.0,12.0,12.0,12.0,0
2024-09-23,12.0,12.0,12.0,12.0,0
2024-09-24,12.0,12.0,12.0,12.0,0
2024-09-25,12.0,12.0,12.0,12.0,0
2024-09-26,12.0,12.0,12.0,12.0,0
2024-09-27,12.0,12.0,12.0,12.0,0
2024-09-30,12.0,12.0,12.0,12.0,0
2024-10-01,12.0,12.0,12.0,12.0,0
2024-10-02,12.0,12.0,12.0,12.0,0
2024-10-03,12.0,12.0,12.0,12.0,0
2024-10-04,12.0,12.0,12.0,12.0,0
2024-10-07,12.0,12.0,12.0,12.0,0
2024-10-08,12.0,12.0,12.0,12.0,0
2024-10-09,12.0,12.0,12.0,12.0,0
2024-10-10,12.0,12.0,12.0,12.0,0
2024-10-11,12.0,12.0,12.0,12.0,0
2024-10-14,12.0,12.0,12.0,12.0,0
2024-10-15,12.0,12.0,12.0,12.0,0
2024-10-16,12.0,12.0,12.0,12.0,0
2024-10-17,12.0,12.0,12.0,12.0,0
2024-10-18,12.0,12.0,12.0,12.0,0
2024-10-21,12.0,12.0,12.0,12.0,0
2024-10-22,12.0,12.0,12.0,12.0,0
2024-10-23,12.0,12.0,12.0,12.0,0
2024-10-24,12.0,12.0,12.0,12.0,0
2024-10-25,12.0,12.0,12.0,12.0,0
2024-10-28,12.0,12.0,12.0,12.0,0
2024-10-29,12.0,12.0,12.0,12.0,0
2024-10-30,12.0,12.0,12.0,12.0,0
2024-10-31,12.0,12.0,12.0,12.0,0
2024-11-01,12.0,12.0,12.0,12.0,0
2024-11-04,12.0,12.0,12.0,12.0,0
2024-11-05,12.0,12.0,12.0,12.0,0
