date,open,high,low,close,volume
2024-04-16,97.0,97.0,92.0,93.0,9835300
2024-04-17,83.0,95.0,83.0,92.0,2954500
2024-04-18,92.0,92.0,89.0,91.0,3710800
2024-04-19,91.0,91.0,87.0,88.0,5304400
2024-04-22,88.0,92.0,87.0,89.0,3152500
2024-04-23,90.0,92.0,89.0,90.0,1829000
2024-04-24,90.0,91.0,88.0,90.0,3305500
2024-04-25,90.0,90.0,87.0,88.0,2248400
2024-04-26,88.0,89.0,86.0,87.0,1155300
2024-04-29,87.0,87.0,84.0,86.0,2872500
2024-04-30,83.0,89.0,75.0,89.0,5095500
2024-05-02,89.0,89.0,85.0,86.0,3492300
2024-05-03,85.0,86.0,83.0,85.0,3567400
2024-05-06,84.0,85.0,82.0,84.0,1895000
2024-05-07,84.0,86.0,83.0,84.0,4227800
2024-05-08,84.0,86.0,82.0,84.0,3932000
2024-05-13,83.0,84.0,80.0,81.0,3468000
2024-05-14,81.0,81.0,75.0,76.0,10126200
2024-05-15,76.0,77.0,73.0,75.0,4193900
2024-05-16,75.0,76.0,72.0,74.0,7499000
2024-05-17,74.0,76.0,73.0,75.0,4560100
2024-05-20,75.0,80.0,72.0,72.0,11798100
2024-05-21,73.0,74.0,72.0,72.0,6024500
2024-05-22,72.0,74.0,71.0,71.0,8183900
2024-05-27,71.0,73.0,69.0,70.0,6807300
2024-05-28,60.0,76.0,60.0,70.0,14108700
2024-05-29,70.0,73.0,69.0,70.0,4147800
2024-05-30,70.0,72.0,68.0,71.0,1691600
2024-05-31,70.0,71.0,67.0,69.0,2809800
2024-06-03,69.0,71.0,66.0,68.0,3509800
2024-06-04,68.0,70.0,65.0,68.0,5357600
2024-06-05,68.0,69.0,66.0,67.0,2373600
2024-06-06,66.0,70.0,66.0,68.0,9354500
2024-06-07,68.0,72.0,67.0,68.0,9762500
2024-06-10,68.0,70.0,67.0,68.0,2374900
2024-06-11,68.0,68.0,66.0,68.0,1492100
2024-06-12,67.0,68.0,62.0,65.0,5591200
2024-06-13,65.0,65.0,62.0,64.0,1305700
2024-06-14,64.0,67.0,62.0,62.0,3861100
2024-06-19,62.0,63.0,56.0,57.0,4184200
2024-06-20,55.0,61.0,55.0,58.0,5215300
2024-06-21,58.0,62.0,58.0,60.0,3267400
2024-06-24,50.0,62.0,50.0,62.0,2055100
2024-06-25,61.0,63.0,60.0,63.0,3500500
2024-06-26,63.0,75.0,61.0,65.0,88782500
2024-06-27,50.0,66.0,50.0,64.0,3359400
2024-06-28,64.0,64.0,62.0,63.0,5091700
2024-07-01,63.0,67.0,62.0,66.0,7911100
2024-07-02,66.0,75.0,65.0,71.0,80700100
2024-07-03,71.0,80.0,71.0,77.0,51761200
2024-07-04,78.0,81.0,74.0,75.0,13996800
2024-07-05,74.0,76.0,73.0,75.0,5820400
2024-07-08,75.0,95.0,74.0,92.0,117986800
2024-07-09,93.0,98.0,85.0,86.0,70729200
2024-07-10,84.0,90.0,83.0,85.0,17758800
2024-07-11,84.0,87.0,82.0,83.0,11447800
2024-07-12,84.0,90.0,83.0,89.0,23537000
2024-07-15,89.0,92.0,87.0,87.0,12385400
2024-07-16,87.0,88.0,85.0,86.0,5403000
2024-07-17,92.0,92.0,86.0,88.0,14548600
2024-07-18,87.0,90.0,87.0,87.0,9740300
2024-07-19,86.0,87.0,85.0,87.0,1516200
2024-07-22,86.0,88.0,85.0,87.0,7551200
2024-07-23,86.0,87.0,85.0,85.0,2353700
2024-07-24,85.0,87.0,79.0,80.0,11975800
2024-07-25,80.0,86.0,78.0,80.0,16218100
2024-07-26,80.0,90.0,80.0,85.0,43417400
2024-07-29,86.0,89.0,83.0,84.0,20485800
2024-07-30,84.0,86.0,83.0,83.0,13545000
2024-07-31,83.0,83.0,81.0,81.0,5066100
2024-08-01,82.0,87.0,81.0,84.0,31013600
2024-08-02,83.0,86.0,83.0,84.0,9024700
2024-08-05,83.0,85.0,79.0,80.0,8991600
