date,open,high,low,close,volume
2024-04-16,20.0,20.0,20.0,20.0,164100
2024-04-17,18.0,18.0,18.0,18.0,346600
2024-04-18,17.0,17.0,17.0,17.0,217900
2024-04-19,16.0,16.0,16.0,16.0,770800
2024-04-22,15.0,15.0,15.0,15.0,1330800
2024-04-23,14.0,14.0,14.0,14.0,101800
2024-04-24,13.0,13.0,13.0,13.0,404400
2024-04-25,12.0,12.0,12.0,12.0,1224800
2024-04-26,11.0,13.0,11.0,13.0,25837900
2024-04-29,14.0,14.0,14.0,14.0,6569100
2024-04-30,14.0,14.0,14.0,14.0,8225600
2024-05-02,15.0,15.0,14.0,14.0,1236900
2024-05-03,14.0,14.0,14.0,14.0,1313300
2024-05-06,13.0,13.0,13.0,13.0,1976800
2024-05-07,12.0,12.0,12.0,12.0,929800
2024-05-08,12.0,12.0,11.0,11.0,2427000
2024-05-13,11.0,11.0,11.0,11.0,1406500
2024-05-14,11.0,11.0,11.0,11.0,953600
2024-05-15,11.0,11.0,11.0,11.0,260600
2024-05-16,11.0,11.0,11.0,11.0,728300
2024-05-17,11.0,11.0,11.0,11.0,355700
2024-05-20,11.0,12.0,11.0,12.0,1232900
2024-05-21,12.0,12.0,11.0,12.0,1219200
2024-05-22,12.0,12.0,12.0,12.0,346500
2024-05-27,12.0,12.0,12.0,12.0,382200
2024-05-28,12.0,12.0,11.0,12.0,319300
2024-05-29,12.0,12.0,11.0,12.0,432100
2024-05-30,12.0,12.0,11.0,11.0,256800
2024-05-31,11.0,11.0,11.0,11.0,1296500
2024-06-03,10.0,10.0,10.0,10.0,2086900
2024-06-04,9.0,9.0,9.0,9.0,2304200
2024-06-05,8.0,10.0,8.0,10.0,15547900
2024-06-06,10.0,10.0,10.0,10.0,1527300
2024-06-07,10.0,10.0,10.0,10.0,543500
2024-06-10,10.0,11.0,10.0,11.0,2117700
2024-06-11,11.0,11.0,11.0,11.0,339800
2024-06-12,11.0,11.0,10.0,10.0,1530700
2024-06-13,10.0,10.0,10.0,10.0,568400
2024-06-14,10.0,10.0,10.0,10.0,202500
2024-06-19,10.0,10.0,9.0,9.0,1582900
2024-06-20,9.0,10.0,9.0,10.0,1549600
2024-06-21,10.0,10.0,10.0,10.0,1816000
2024-06-24,10.0,11.0,10.0,11.0,794000
2024-06-25,11.0,12.0,11.0,12.0,2358800
2024-06-26,12.0,12.0,12.0,12.0,711400
2024-06-27,12.0,13.0,12.0,13.0,923400
2024-06-28,13.0,13.0,13.0,13.0,813500
2024-07-01,13.0,13.0,13.0,13.0,229200
2024-07-02,12.0,13.0,12.0,13.0,2568600
2024-07-03,12.0,12.0,12.0,12.0,657200
2024-07-04,11.0,11.0,11.0,11.0,654600
2024-07-05,11.0,11.0,10.0,10.0,2595300
2024-07-08,10.0,11.0,10.0,11.0,762900
2024-07-09,11.0,11.0,11.0,11.0,792700
2024-07-10,11.0,11.0,11.0,11.0,1140500
2024-07-11,11.0,12.0,11.0,12.0,2414300
2024-07-12,13.0,13.0,13.0,13.0,1827600
2024-07-15,13.0,13.0,12.0,13.0,942900
2024-07-16,12.0,13.0,12.0,13.0,201000
2024-07-17,13.0,13.0,12.0,13.0,519200
2024-07-18,13.0,14.0,13.0,14.0,2668900
2024-07-19,14.0,14.0,13.0,13.0,619700
2024-07-22,13.0,14.0,13.0,14.0,797400
2024-07-23,14.0,14.0,14.0,14.0,433300
2024-07-24,15.0,15.0,14.0,14.0,786600
2024-07-25,14.0,14.0,13.0,14.0,253200
2024-07-26,14.0,14.0,14.0,14.0,105200
2024-07-29,15.0,15.0,13.0,14.0,301900
2024-07-30,14.0,14.0,14.0,14.0,730800
2024-07-31,14.0,14.0,14.0,14.0,163000
2024-08-01,14.0,14.0,13.0,14.0,979300
2024-08-02,14.0,14.0,14.0,14.0,1348100
2024-08-05,14.0,14.0,13.0,13.0,332200
2024-08-06,13.0,14.0,13.0,14.0,364300
2024-08-07,14.0,14.0,13.0,14.0,17000
2024-08-08,14.0,14.0,14.0,14.0,258900
2024-08-09,14.0,14.0,13.0,13.0,342100
2024-08-12,13.0,14.0,13.0,14.0,458400
2024-08-13,13.0,14.0,13.0,13.0,235400
2024-08-14,13.0,13.0,12.0,12.0,4571500
2024-08-15,12.0,13.0,12.0,12.0,2034900
2024-08-16,12.0,13.0,12.0,13.0,327000
2024-08-19,13.0,13.0,13.0,13.0,255800
2024-08-20,13.0,13.0,13.0,13.0,643700
2024-08-21,13.0,14.0,13.0,14.0,468000
2024-08-22,13.0,14.0,13.0,14.0,2668400
2024-08-23,14.0,14.0,14.0,14.0,860800
2024-08-26,13.0,14.0,13.0,14.0,1472900
2024-08-27,15.0,15.0,15.0,15.0,718500
2024-08-28,16.0,16.0,16.0,16.0,1826300
2024-08-29,17.0,17.0,17.0,17.0,3035700
2024-08-30,18.0,18.0,18.0,18.0,1868600
2024-09-02,19.0,19.0,19.0,19.0,2932700
2024-09-03,18.0,18.0,18.0,18.0,2099700
2024-09-04,17.0,17.0,17.0,17.0,1448200
2024-09-05,16.0,18.0,16.0,18.0,2734800
2024-09-06,18.0,19.0,18.0,18.0,856500
2024-09-09,19.0,19.0,18.0,18.0,1941600
2024-09-10,18.0,18.0,18.0,18.0,81800
2024-09-11,18.0,18.0,17.0,17.0,1221300
2024-09-12,16.0,16.0,16.0,16.0,2467400
2024-09-13,16.0,16.0,16.0,16.0,1271600
2024-09-17,16.0,17.0,16.0,16.0,446600
2024-09-18,15.0,17.0,15.0,17.0,2779100
2024-09-19,18.0,18.0,18.0,18.0,1014300
2024-09-20,18.0,18.0,18.0,18.0,77900
2024-09-23,17.0,18.0,17.0,18.0,869100
2024-09-24,18.0,18.0,17.0,18.0,424600
2024-09-25,18.0,18.0,18.0,18.0,249400
2024-09-26,18.0,18.0,17.0,17.0,1051100
2024-09-27,17.0,17.0,16.0,16.0,1435100
2024-09-30,16.0,16.0,16.0,16.0,413500
2024-10-01,16.0,16.0,15.0,15.0,1259000
2024-10-02,16.0,16.0,16.0,16.0,1635400
2024-10-03,16.0,17.0,16.0,17.0,124700
2024-10-04,17.0,17.0,16.0,16.0,430900
2024-10-07,16.0,16.0,15.0,15.0,310300
2024-10-08,15.0,16.0,15.0,15.0,402000
2024-10-09,15.0,15.0,15.0,15.0,1476200
2024-10-10,15.0,16.0,15.0,16.0,559200
2024-10-11,15.0,16.0,15.0,16.0,362600
2024-10-14,16.0,16.0,15.0,16.0,1019400
2024-10-15,16.0,16.0,16.0,16.0,737000
2024-10-16,16.0,16.0,16.0,16.0,818700
2024-10-17,16.0,16.0,15.0,15.0,151600
2024-10-18,15.0,16.0,15.0,16.0,1372800
2024-10-21,16.0,16.0,16.0,16.0,544200
2024-10-22,16.0,16.0,16.0,16.0,1122000
2024-10-23,15.0,15.0,15.0,15.0,330300
2024-10-24,15.0,16.0,15.0,16.0,250500
2024-10-25,15.0,16.0,15.0,15.0,87100
2024-10-28,15.0,16.0,15.0,16.0,555200
2024-10-29,17.0,17.0,16.0,16.0,330300
2024-10-30,16.0,17.0,16.0,17.0,159700
2024-10-31,17.0,17.0,16.0,17.0,312300
2024-11-01,17.0,17.0,16.0,16.0,461300
2024-11-04,16.0,16.0,16.0,16.0,57800
2024-11-05,16.0,16.0,15.0,16.0,829400
2024-11-06,16.0,16.0,15.0,16.0,1318800
2024-11-07,15.0,16.0,15.0,16.0,212200
2024-11-08,15.0,15.0,15.0,15.0,1357800
2024-11-11,15.0,15.0,15.0,15.0,390300
2024-11-12,15.0,15.0,14.0,15.0,509400
2024-11-13,14.0,16.0,14.0,16.0,576500
2024-11-14,16.0,16.0,15.0,15.0,161200
2024-11-15,15.0,15.0,15.0,15.0,91500
2024-11-18,15.0,15.0,14.0,14.0,237400
2024-11-19,14.0,15.0,14.0,15.0,1187700
2024-11-20,15.0,15.0,14.0,14.0,554300
2024-11-21,14.0,14.0,14.0,14.0,410600
2024-11-22,14.0,14.0,14.0,14.0,168300
2024-11-25,14.0,15.0,14.0,15.0,875500
2024-11-26,15.0,15.0,15.0,15.0,267300
2024-11-28,15.0,15.0,15.0,15.0,26600
2024-11-29,14.0,15.0,14.0,15.0,396900
2024-12-02,15.0,15.0,15.0,15.0,937100
2024-12-03,15.0,15.0,15.0,15.0,15600
2024-12-04,15.0,15.0,14.0,14.0,238200
2024-12-05,14.0,15.0,14.0,15.0,329600
2024-12-06,15.0,15.0,14.0,15.0,621900
2024-12-09,15.0,15.0,14.0,14.0,268400
2024-12-10,14.0,14.0,14.0,14.0,1109200
2024-12-11,14.0,15.0,14.0,15.0,4225300
2024-12-12,16.0,16.0,16.0,16.0,2033400
2024-12-13,17.0,17.0,17.0,17.0,2694500
2024-12-16,17.0,17.0,16.0,16.0,2861000
2024-12-17,16.0,16.0,15.0,15.0,83900
