date,close
2020-01-01,13683
2020-02-01,13940
2020-03-01,14090
2020-04-01,12193
2020-05-01,10443
2020-06-01,12020
2020-07-01,13288
2020-08-01,13066
2020-09-01,14011
2020-10-01,14394
2020-11-01,15277
2020-12-01,16720
2021-01-01,15295
2021-02-01,15256
2021-03-01,18365
2021-04-01,18490
2021-05-01,16603
2021-06-01,18551
2021-07-01,19554
2021-08-01,21423
2021-09-01,20602
2021-10-01,22038
2021-11-01,22840
2021-12-01,23284
2022-01-01,19161
2022-02-01,20943
2022-03-01,26500
2022-04-01,27320
2022-05-01,21510
2022-06-01,26209
2022-07-01,25888
2022-08-01,27900
2022-09-01,24766
2022-10-01,24009
2022-11-01,24182
2022-12-01,23832
2023-01-01,22311
2023-02-01,21430
2023-03-01,23500
2023-04-01,19290
2023-05-01,20685
2023-06-01,20563
2023-07-01,20952
2023-08-01,22124
2023-09-01,21765
2023-10-01,22151
2023-11-01,22004
2023-12-01,22411
2024-01-01,19322
2024-02-01,19975
2024-03-01,22432
2024-04-01,19639
2024-05-01,22332
2024-06-01,20839
2024-07-01,22108
2024-08-01,23772
2024-09-01,22082
2024-10-01,24194
2024-11-01,24044
2024-12-01,25267
2025-01-01,21279
2025-02-01,22014
2025-03-01,23504
