date,close
2020-01-01,14599
2020-02-01,11630
2020-03-01,13355
2020-04-01,9849
2020-05-01,8555
2020-06-01,10739
2020-07-01,10468
2020-08-01,10745
2020-09-01,11738
2020-10-01,11570
2020-11-01,12822
2020-12-01,14588
2021-01-01,13340
2021-02-01,13411
2021-03-01,16791
2021-04-01,16288
2021-05-01,14265
2021-06-01,16159
2021-07-01,16678
2021-08-01,18026
2021-09-01,18099
2021-10-01,18666
2021-11-01,18845
2021-12-01,20038
2022-01-01,17347
2022-02-01,17088
2022-03-01,21365
2022-04-01,20464
2022-05-01,18451
2022-06-01,22337
2022-07-01,21551
2022-08-01,21529
2022-09-01,20362
2022-10-01,19023
2022-11-01,18991
2022-12-01,20121
2023-01-01,19258
2023-02-01,18141
2023-03-01,18469
2023-04-01,17329
2023-05-01,17895
2023-06-01,18255
2023-07-01,18940
2023-08-01,20185
2023-09-01,18549
2023-10-01,19204
2023-11-01,19085
2023-12-01,19004
2024-01-01,17210
2024-02-01,17485
2024-03-01,18704
2024-04-01,17035
2024-05-01,19002
2024-06-01,18065
2024-07-01,18835
2024-08-01,19813
2024-09-01,18779
2024-10-01,21274
2024-11-01,20016
2024-12-01,22038
2025-01-01,18553
2025-02-01,17879
2025-03-01,19183
