date,close
2020-01-01,-916
2020-02-01,2310
2020-03-01,735
2020-04-01,2344
2020-05-01,1888
2020-06-01,1281
2020-07-01,2820
2020-08-01,2321
2020-09-01,2273
2020-10-01,2824
2020-11-01,2455
2020-12-01,2132
2021-01-01,1955
2021-02-01,1845
2021-03-01,1574
2021-04-01,2202
2021-05-01,2338
2021-06-01,2392
2021-07-01,2876
2021-08-01,3397
2021-09-01,2503
2021-10-01,3372
2021-11-01,3995
2021-12-01,3246
2022-01-01,1814
2022-02-01,3855
2022-03-01,5135
2022-04-01,6856
2022-05-01,3059
2022-06-01,3872
2022-07-01,4337
2022-08-01,6371
2022-09-01,4404
2022-10-01,4986
2022-11-01,5191
2022-12-01,3711
2023-01-01,3053
2023-02-01,3289
2023-03-01,5031
2023-04-01,1961
2023-05-01,2790
2023-06-01,2308
2023-07-01,2012
2023-08-01,1939
2023-09-01,3216
2023-10-01,2947
2023-11-01,2919
2023-12-01,3407
2024-01-01,2112
2024-02-01,2490
2024-03-01,3728
2024-04-01,2604
2024-05-01,3330
2024-06-01,2774
2024-07-01,3273
2024-08-01,3959
2024-09-01,3303
2024-10-01,2920
2024-11-01,4028
2024-12-01,3229
2025-01-01,2726
2025-02-01,4135
2025-03-01,4321
