date,close
2020-01-01,-4.2
2020-02-01,-10.1
2020-03-01,-25.3
2020-04-01,3.1
2020-05-01,-2.5
2020-06-01,1.8
2020-07-01,-5.2
2020-08-01,-3.1
2020-09-01,-11.5
2020-10-01,-7.3
2020-11-01,11.2
2020-12-01,14.3
2021-01-01,-7.5
2021-02-01,2.1
2021-03-01,-4.8
2021-04-01,3.7
2021-05-01,-8.2
2021-06-01,-5.1
2021-07-01,-6.3
2021-08-01,2.5
2021-09-01,-3.2
2021-10-01,8.1
2021-11-01,-5.4
2021-12-01,3.2
2022-01-01,8.5
2022-02-01,12.3
2022-03-01,18.7
2022-04-01,5.6
2022-05-01,-9.8
2022-06-01,-15.2
2022-07-01,3.2
2022-08-01,-2.1
2022-09-01,-12.5
2022-10-01,-8.3
2022-11-01,5.4
2022-12-01,-3.2
2023-01-01,2.1
2023-02-01,-5.8
2023-03-01,-8.2
2023-04-01,3.5
2023-05-01,-12.3
2023-06-01,-7.8
2023-07-01,-5.2
2023-08-01,-15.6
2023-09-01,-10.2
2023-10-01,-18.5
2023-11-01,-8.3
2023-12-01,5.1
2024-01-01,-15.2
2024-02-01,-8.7
2024-03-01,-12.5
2024-04-01,-22.3
2024-05-01,5.8
2024-06-01,8.2
2024-07-01,-3.5
2024-08-01,12.8
2024-09-01,15.6
2024-10-01,-8.2
2024-11-01,-15.3
2024-12-01,-10.8
2025-01-01,-25.6
2025-02-01,-18.2
2025-03-01,-32.5
