ticker,entry_date,exit_date,entry_price,exit_price,return_pct,hasil_rp,exit_reason,menang,hold_hari
FASW,2024-09-13,2024-09-17,6350.0,6540.0,2.5,416667.0,TP,True,1
FASW,2024-09-17,2024-09-18,6350.0,6223.0,-2.5,-418403.0,SL,False,1
FASW,2024-09-18,2024-09-23,6600.0,6468.0,-2.5,-416659.0,SL,False,3
BMAS,2024-09-23,2024-09-24,790.0,774.0,-2.5,-414923.0,SL,False,1
FASW,2024-09-23,2024-09-25,5950.0,5831.0,-2.5,-414923.0,SL,False,2
LINK,2024-09-25,2024-09-26,1850.0,1813.0,-2.5,-411466.0,SL,False,1
BMAS,2024-09-25,2024-09-26,785.0,809.0,2.5,411466.0,TP,True,1
FASW,2024-09-25,2024-09-26,6500.0,6370.0,-2.5,-411466.0,SL,False,1
ABMM,2024-09-25,2024-09-27,4300.0,4429.0,2.5,411466.0,TP,True,2
FASW,2024-09-26,2024-09-30,5850.0,6026.0,2.5,409751.0,TP,True,2
LINK,2024-09-27,2024-09-30,1815.0,1779.0,-2.5,-411466.0,SL,False,1
SPMA,2024-09-27,2024-09-30,260.0,255.0,-2.5,-411466.0,SL,False,1
TPIA,2024-09-30,2024-10-01,8475.0,8729.0,2.5,409744.0,TP,True,1
ABMM,2024-09-30,2024-10-01,4260.0,4175.0,-2.5,-409744.0,SL,False,1
HITS,2024-09-30,2024-10-01,286.0,295.0,2.5,409744.0,TP,True,1
SPMA,2024-09-30,2024-10-02,254.0,249.0,-2.5,-409744.0,SL,False,2
ABMM,2024-10-01,2024-10-02,4190.0,4106.0,-2.5,-411451.0,SL,False,1
HITS,2024-10-01,2024-10-02,286.0,280.0,-2.5,-411451.0,SL,False,1
FASW,2024-09-30,2024-10-03,6200.0,6200.0,-0.5,-81949.0,H+3,False,3
BMAS,2024-10-02,2024-10-03,775.0,760.0,-2.5,-406315.0,SL,False,1
HITS,2024-10-02,2024-10-03,286.0,280.0,-2.5,-406315.0,SL,False,1
SPMA,2024-10-03,2024-10-04,249.0,244.0,-2.5,-402588.0,SL,False,1
ABMM,2024-10-04,2024-10-07,4070.0,4192.0,2.5,400910.0,TP,True,1
FASW,2024-10-03,2024-10-08,6200.0,6200.0,-0.5,-80518.0,H+3,False,3
BMAS,2024-10-07,2024-10-08,735.0,720.0,-2.5,-402581.0,SL,False,1
ABMM,2024-10-07,2024-10-09,4220.0,4136.0,-2.5,-402581.0,SL,False,2
BMAS,2024-10-08,2024-10-09,715.0,736.0,2.5,400568.0,TP,True,1
SPMA,2024-10-08,2024-10-11,248.0,243.0,-2.36,-378674.0,H+3,False,3
FASW,2024-10-08,2024-10-11,6200.0,6076.0,-2.5,-400568.0,SL,False,3
ABMM,2024-10-09,2024-10-14,4120.0,4060.0,-1.96,-313448.0,H+3,False,3
