fitur,importance
volatility_10d,0.2742075433084897
volatility_5d,0.14561696900273768
close_vs_sma5,0.08390797210210171
range_pct,0.0670757586357268
bulan,0.06645343744117342
vol_ratio,0.04142102657089047
bb_pct,0.031831198350844685
close_vs_sma50,0.030878400880342157
ret_2d,0.02517053910564858
macd_hist,0.023938824532224113
close_vs_sma10,0.020574424269494733
ret_1d,0.020407484635727918
macd,0.019726981122161796
mfi,0.019076849954220796
near_high20,0.01861517787990281
ret_3d,0.01858141524503826
ret_5d_sum,0.016949471262311184
rsi,0.0159595210549227
ret_5d,0.01584972544596583
stoch_k,0.014854736066541346
hari,0.014346435062022756
jumat,0.00263218109751133
vol_naik,0.0019255004789596264
senin,0.0016153014469803626
akumulasi_2d,0.0011852279333843083
golden_cross,0.0011278165559289175
bb_squeeze,0.0010865051795618248
strong_candle,0.0008203588996611612
rsi_naik,0.0007904948962718451
breakout_up,0.0006425258990934826
mfi_oversold,0.0006107798750628017
stoch_oversold,0.0004029192219727857
doji,0.0003908393267986491
hammer,0.0002863501338420534
rsi_oversold,0.00022852227843993316
stoch_cross,0.00018134421854672437
sma5_cross10,0.0001722607373756218
macd_cross,0.00013775161570063715
rsi_cross50,0.00011464885730794011
macd_positif,7.742016304826853e-05
below_bb,5.9581755305928984e-05
akumulasi,5.260217840364597e-05
vol_spike,1.5175322352785411e-05
