skor_total,skor_sd,skor_teknikal,skor_komoditas,skor_sentimen,skor_kalender,proba_naik,sinyal,ticker,sektor,rank,tanggal
49.0,88.6,30.0,50.0,50.0,0,0.408,SKIP,PTBA.JK,tambang,1,2026-03-26
47.2,79.8,30.0,50.0,50.0,0,0.408,SKIP,ITMG.JK,tambang,2,2026-03-26
45.9,73.6,30.0,50.0,50.0,0,0.408,SKIP,ADRO.JK,tambang,3,2026-03-26
42.7,52.9,30.0,50.0,50.0,0,0.436,SKIP,BMRI.JK,perbankan,4,2026-03-26
41.0,59.4,30.0,50.0,50.0,0,0.362,SKIP,ASII.JK,lainnya,5,2026-03-26
40.0,9.8,30.0,50.0,50.0,0,0.595,SKIP,AKRA.JK,energi,6,2026-03-26
39.0,5.4,30.0,50.0,50.0,0,0.595,SKIP,PGAS.JK,energi,7,2026-03-26
38.9,49.2,30.0,50.0,50.0,0,0.362,SKIP,TLKM.JK,lainnya,8,2026-03-26
38.6,3.5,30.0,50.0,50.0,0,0.595,SKIP,MEDC.JK,energi,9,2026-03-26
37.1,40.5,30.0,50.0,50.0,0,0.362,SKIP,ISAT.JK,lainnya,10,2026-03-26
32.2,8.4,30.0,50.0,50.0,0,0.408,SKIP,ANTM.JK,tambang,11,2026-03-26
31.5,5.1,30.0,50.0,50.0,0,0.408,SKIP,INCO.JK,tambang,12,2026-03-26
30.7,6.6,30.0,50.0,50.0,0,0.381,SKIP,SIMP.JK,agribisnis,13,2026-03-26
30.6,6.1,30.0,50.0,50.0,0,0.381,SKIP,AALI.JK,agribisnis,14,2026-03-26
30.5,5.2,30.0,50.0,50.0,0,0.381,SKIP,LSIP.JK,agribisnis,15,2026-03-26
30.2,7.7,30.0,50.0,50.0,0,0.362,SKIP,UNTR.JK,lainnya,16,2026-03-26
29.9,6.4,30.0,50.0,50.0,0,0.362,SKIP,HRUM.JK,lainnya,17,2026-03-26
29.9,6.2,30.0,50.0,50.0,0,0.362,SKIP,MDKA.JK,lainnya,18,2026-03-26
29.7,5.4,30.0,50.0,50.0,0,0.362,SKIP,BNGA.JK,lainnya,19,2026-03-26
29.6,4.7,30.0,50.0,50.0,0,0.362,SKIP,AUTO.JK,lainnya,20,2026-03-26
29.4,3.8,30.0,50.0,50.0,0,0.362,SKIP,TINS.JK,lainnya,21,2026-03-26
29.2,2.9,30.0,50.0,50.0,0,0.362,SKIP,EXCL.JK,lainnya,22,2026-03-26
29.1,2.2,30.0,50.0,50.0,0,0.362,SKIP,BBTN.JK,lainnya,23,2026-03-26
